"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"78","101.03567408710931","107.57255190962978","0.047119140625","0.05322265625","0.041015625","1560","0.00033963458576848364","32","0.00033963458576848364","0","0.00033963458576848364","0.00033963458576848364","77:0.0019688388814984026;79:0.013294896315118737;72:0.004791979351996045","77:68;79:88;72:120","77:0.0032794636733533278;79:0.02891387417335653;72:0.006882725790268496","Yes"
"79","25.47461688561612","24.158314463676113","0.03076171875","0.060546875","0.0009765625","1560","0.0030000698189444007","32","0.0030000698189444007","0","0.0030000698189444007","0.0030000698189444007","78:0.013294896315118737;80:0.01408159963555708","78:88;80:68","78:0.02891387417335653;80:0.03038109389264565","Yes"
"80","161.03335523823884","29.086374094505125","0.023681640625","0.03125","0.01611328125","1560","0.00027295540715243754","32","0.00027295540715243754","0","0.00027295540715243754","0.00027295540715243754","81:0.00262248283777497;92:0.001956756523540437;79:0.01408159963555708","81:68;92:68;79:68","81:0.00574368172117512;92:0.0019560853545137202;79:0.03038109389264565","Yes"
"81","108.12385432447753","59.45998277439785","0.007080078125","0.00927734375","0.0048828125","1560","0.000285103396720211","32","0.000285103396720211","0","0.000285103396720211","0.000285103396720211","80:0.00262248283777497;82:0.0031742671813816126","80:68;82:68","80:0.00574368172117512;82:0.008134615660974343","Yes"
"82","203.8076931334559","135.46682484332328","0.072509765625","0.07666015625","0.068359375","1560","0.00022302915276036495","32","0.00022302915276036495","0","0.00022302915276036495","0.00022302915276036495","81:0.0031742671813816126;83:0.0025622546853024952;73:0.0017888042829203865","81:68;83:68;73:88","81:0.008134615660974343;83:0.0032531614648809992;73:0.004644538762559297","Yes"
"83","151.87354572125747","94.39975896148208","0.02001953125","0.01220703125","0.02783203125","1560","0.0004794902451087061","32","0.0004794902451087061","0","0.0004794902451087061","0.0004794902451087061","82:0.0025622546853024952;84:0.004450903661060407","82:68;84:108","82:0.0032531614648809992;84:0.006104318328742475","Yes"
"84","218.21220592447554","130.98759587743172","0.046875","0.0517578125","0.0419921875","1560","0.00046285029591832245","32","0.00046285029591832245","0","0.00046285029591832245","0.00046285029591832245","93:0.007655259831505168;83:0.004450903661060407;85:0.034565423306701815","93:68;83:108;85:88","93:0.00559941665235672;83:0.006104318328742475","Yes"
"85","3.5650754603462116","6.150607311021591","0.03173828125","0.04931640625","0.01416015625","1560","0.004502157415975648","32","0.004502157415975648","0","0.004502157415975648","0.004502157415975648","86:0.01972560903617465;84:0.034565423306701815","86:68;84:88","86:0.07551330241836954","Yes"
"86","104.07998417999687","106.92488460142114","0.200927734375","0.38427734375","0.017578125","1560","0.00025455835067819633","32","0.00025455835067819633","0","0.00025455835067819633","0.00025455835067819633","85:0.01972560903617465;74:0.0027960991068447794;87:0.0018292891387260701","85:68;74:68;87:68","85:0.07551330241836954;74:0.0032106890740959404;87:0.002351505868877196","Yes"
"87","277.83546362773035","209.62579576207793","0.00732421875","0.00830078125","0.00634765625","1560","0.000269270778594935","32","0.000269270778594935","0","0.000269270778594935","0.000269270778594935","86:0.0018292891387260701;88:0.0016313705562584213","86:68;88:68","86:0.002351505868877196;88:0.0019655962835301577","Yes"
